Handle,Title,Product Category
copy-of-adjustable-flask-clamp-accepts-125ml-250ml-500ml-max-16x500-25x250-or-36x125ml,"Flask clamp for H1000-MR, 25ml, max.49",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-optional-shelf-14-x-5-5-for-petri-dishes-microplates-etc,"ADJUSTABLE flask clamp, accepts 125ml, 250ml & 500ml (max. 16x500, 25x250 or 36x125ml)",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-6-x-microplate-platform,"Optional shelf, 14 x 5,5"" for Petri dishes, microplates, etc",Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-spring-platform-for-unique-vessel-types,6 x microplate platform,Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-magic-clamp-universal-platform-for-flasks-and-tube-racks-18-x-18-in,Spring platform for unique vessel types,Business & Industrial > Science & Laboratory > Laboratory Equipment
magic-clamp-universal-platform-for-flasks-and-tube-racks-18-x-18-in,MAGIc Clamp universal platform for flasks and tube racks (18 x 18 in.),Business & Industrial > Science & Laboratory > Laboratory Equipment
copy-of-replacement-adapter-pack-0-5ml-6-pk,"Replacement adapter pack, 0.2ml 6/pk",Business & Industrial > Science & Laboratory > Laboratory Equipment
replacement-adapter-pack-0-5ml-6-pk,"Replacement adapter pack, 0.5ml 6/pk",Business & Industrial > Science & Laboratory > Laboratory Equipment
block-12-x-5ml-centrifuge-tubes-17mm-diameter,"Block, 12 x 5ml centrifuge tubes (17mm diameter)",Business & Industrial > Science & Laboratory > Laboratory Equipment
block-12x15-16mm-or-12x10ml-blood-tube,"Block, 12x15-16mm (or 12x10ml blood tube)",Business & Industrial > Science & Laboratory > Laboratory Equipment
block-20-x-13mm-or-20-x-5-7ml-blood-tube,"Block, 20 x 13mm (or 20 x 5/7ml blood tube)",Business & Industrial > Science & Laboratory > Laboratory Equipment
block-20-x-10mm-or-20-x-2-0ml,"Block, 20 x 10mm (or 20 x 2.0ml)",Business & Industrial > Science & Laboratory > Laboratory Equipment
block-12-x-15ml-block-height-3-25-in,"Block, 12 x 15ml (block height: 3.25 in.)",Business & Industrial > Science & Laboratory > Laboratory Equipment
block-24-x-0-5ml,"Block, 24 x 0.5ml",Business & Industrial > Science & Laboratory > Laboratory Equipment
block-24-x-1-5-2-0ml,"Block, 24 x 1.5/2.0ml",Business & Industrial > Science & Laboratory > Laboratory Equipment
block-24-x-1-5ml,"Block, 24 x 1.5ml",Business & Industrial > Science & Laboratory > Laboratory Equipment
quick-flip™-universal-block-side-1-holds-24-x-1-5ml-2-0ml-14-x-0-5ml-side-2-holds-6-x-pcr-strips-48-x-0-2ml-or-1-pcr-plate,"Quick-Flip™ Universal block Side 1: Holds: 24 x 1.5ml/2.0ml & 14 x 0.5ml Side 2: Holds: 6 x PCR strips, 48 x 0.2ml or 1 PCR Plate†",Business & Industrial > Science & Laboratory > Laboratory Equipment
96-well-no-skirt-clear-raised-plate-0-2-ml-10-pk,"96 Well, No-Skirt, clear Raised plate,0.2 ml,  10/pk",Business & Industrial > Science & Laboratory > Laboratory Supplies
